time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2023-05-09 09:09:39.483 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1683623379228, , , , ,3145728, , , , ,46,3,83,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1087,3, , , , ,2,59,12,71,352125280,-1, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-05-09 09:10:39.487 UTC, ,1029,6881605,323896,3452160,282688, ,83, ,9585, , , , , , , , , ,83,5, , , ,42,1,3, , , , , , , , , , , , , , , , ,1077,1,469,469, , , , , ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1683623379228, , , , ,3145728, , , , ,119,2521,50412,2521,2,2521, , ,3,2524, , , , , , , , , , , ,4096,2,510980,2521, , , , , , ,3,26,455732016,-1, , , , , , ,9508, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1902, , ,1, ,34, , , , , , 
2023-05-09 09:10:40.091 UTC, ,125,6618789,324232,3472936, , ,83, ,16, , , , , , , , , ,83,5, , , ,42,2,2, ,11, , , , , , , , , , , , , , ,698507,2,511750,512219,1,14,36,41, ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1683623379228, , , , ,3145728, , , , ,29,2,56,2, ,2, , ,3,2, , , , , , , , , , , , , ,186453,2, , , , , , , , ,541301040,-1, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , ,2, , , , , , 
2023-05-09 09:10:40.157 UTC, ,125,3170045,1288,24056,136, ,6,2,42,6,0.14, , , , , , ,2,6,3, ,2, ,5,1,8, ,43,11, , , , , , , , , , , , , ,699640,3, ,698643, , , , , ,63,63, , , , , ,86,7231, , , , , , , , , , , , , , , , , , , , , , , , ,1683623440111, , , , ,3145728, , , ,22,0, , , ,3, , , ,3, , , , ,22,1,2048,1, , , ,1,1505549,205, , , , , , ,2,59,15,97,571025392,-1, , , , , , ,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-05-09 09:11:40.169 UTC, ,125,6919173,324960,3490520,282800, ,90,14,5137,77,0.01, , , , , , , ,90,12, , ,16,44,4,14, ,6848,6790, , , , , , , , , , , , , ,707450,7,917,706149,4,10,12,28, ,63,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1683623440111, , , , ,3145728, , , ,6885,29,6,121,6,2,6, , ,3,7, , , ,6885,1, , , , , ,25,602128,6912,7809,6, , , , ,1,109,4,46,797079376,-1, , , , , , ,7656, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,1901,6,8,1, , , , , , 
2023-05-09 09:12:40.172 UTC, ,125,6919173,324960,3490520,282800, ,90, , , , , , , , , , , ,90,12, , , ,44,4,14, , , , , , , , , , , , , , , , ,707450,7,917,706149, , , , , ,63,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1683623440111, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,12,112601104,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-05-09 09:13:40.176 UTC, ,125,6919173,324960,3490520,282800, ,90, , , , , , , , , , , ,90,12, , , ,44,4,14, , , , , , , , , , , , , , , , ,707450,7,917,706149, , , , , ,63,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1683623440111, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,122825696,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-05-09 09:14:40.184 UTC, ,125,6959237,326000,3530584,282800, ,100, ,268, , , , , , , , , ,100,22, , , ,44,8,29, ,252, , , , , , , , , , , , , , ,737992,18,3267,734665,11,41,37,97, ,59,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1683623440111, , , , ,3145728, , , , ,41,22,485,22, ,22, , ,3,24, , , , ,1, , , , , , , , ,30543,22, , , , , , , , ,267193792,-1, , , , , , ,355, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,38, , ,58,25, , , , , , , 
2023-05-09 09:15:40.199 UTC, ,125,6959237,326000,3530584,282800, ,100, ,2, , , , , , , , , ,100,22, , , ,44,8,29, ,2, , , , , , , , , , , , , , ,737992,18,3267,734665, , , , , ,59,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1683623440111, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,270784584,-1, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , 
2023-05-09 09:16:40.212 UTC, ,125,7032221,326208,3603568,282800, ,102, ,2515, , , , , , , , , ,102,24, , , ,45,6,27, ,2226, , , , , , , , , , , , , , ,940991,49,2617,936380,31,272,69,334, ,56,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1683623440111, , , , ,3145728, , , , ,59,62,1292,62, ,62, , ,3,64, , , , ,1, , , , , , , , ,202999,62, , , , , , , , ,333565208,-1, , , , , , ,2914, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,414, , ,1264,85, , , , , , , 
